,nthreads,ssize,tot,mean,med,stdev
0,1.0,1024.0,9.29832e-05,5.00679e-06,5.00679e-06,0.0
1,1.0,2048.0,8.58307e-05,6.91414e-06,6.91414e-06,0.0
2,1.0,4096.0,7.08103e-05,1.19209e-05,1.19209e-05,0.0
3,1.0,8192.0,7.20024e-05,2.00272e-05,2.00272e-05,0.0
4,1.0,16384.0,8.39233e-05,3.48091e-05,3.48091e-05,0.0
5,1.0,32768.0,0.000103951,6.29425e-05,6.29425e-05,0.0
6,1.0,65536.0,0.000178099,0.000127077,0.000127077,0.0
7,1.0,131072.0,0.00027585,0.000232935,0.000232935,0.0
8,1.0,262144.0,0.000461102,0.000421047,0.000421047,0.0
9,1.0,524288.0,0.000771046,0.000725985,0.000725985,0.0
10,1.0,1048576.0,0.00194407,0.00186491,0.00186491,0.0
11,1.0,2097152.0,0.00334001,0.00328612,0.00328612,0.0
12,1.0,4194304.0,0.00669885,0.00665212,0.00665212,0.0
13,1.0,8388608.0,0.0130839,0.0130219,0.0130219,0.0
14,1.0,16777216.0,0.0252612,0.025197,0.025197,0.0
15,1.0,33554432.0,0.052552,0.0524969,0.0524969,0.0
16,1.0,67108864.0,0.105668,0.105603,0.105603,0.0
17,1.0,134217728.0,0.206128,0.206074,0.206074,0.0
18,1.0,268435456.0,0.41316,0.413101,0.413101,0.0
19,1.0,536870912.0,0.880916,0.880829,0.880829,0.0
20,1.0,1073741824.0,3.91925,3.91918,3.91918,0.0
21,2.0,1024.0,3.79086e-05,9.53674e-07,9.53674e-07,0.0
22,2.0,2048.0,5.19753e-05,1.07288e-06,1.07288e-06,1.19209e-07
23,2.0,4096.0,3.8147e-05,2.14577e-06,2.14577e-06,0.0
24,2.0,8192.0,5.72205e-05,5.00679e-06,5.00679e-06,0.0
25,2.0,16384.0,6.10352e-05,1.00136e-05,1.00136e-05,1.19209e-06
26,2.0,32768.0,6.41346e-05,1.95503e-05,1.95503e-05,4.76837e-07
27,2.0,65536.0,8.10623e-05,4.01735e-05,4.01735e-05,2.02656e-06
28,2.0,131072.0,0.000117064,7.79629e-05,7.79629e-05,4.05312e-06
29,2.0,262144.0,0.000215769,0.000163078,0.000163078,6.91414e-06
30,2.0,524288.0,0.000369072,0.000312567,0.000312567,2.24113e-05
31,2.0,1048576.0,0.000748873,0.000650048,0.000650048,4.08888e-05
32,2.0,2097152.0,0.00133395,0.00125945,0.00125945,2.44379e-05
33,2.0,4194304.0,0.00290108,0.00267494,0.00267494,0.000171065
34,2.0,8388608.0,0.00591302,0.00559056,0.00559056,0.000274539
35,2.0,16777216.0,0.0115299,0.0109371,0.0109371,0.000544906
36,2.0,33554432.0,0.02314,0.0220231,0.0220231,0.00105107
37,2.0,67108864.0,0.046391,0.0457896,0.0457896,0.000537515
38,2.0,134217728.0,0.092725,0.0880985,0.0880985,0.00455451
39,2.0,268435456.0,0.184285,0.175217,0.175217,0.00899744
40,2.0,536870912.0,0.371536,0.353186,0.353186,0.0182756
