,nthreads,ssize,tot,mean,med,stdev
0,1.0,1024.0,2.14577e-06,2.14577e-06,2.14577e-06,0.0
1,1.0,2048.0,2.14577e-06,2.14577e-06,2.14577e-06,0.0
2,1.0,4096.0,5.00679e-06,5.00679e-06,5.00679e-06,0.0
3,1.0,8192.0,9.05991e-06,9.05991e-06,9.05991e-06,0.0
4,1.0,16384.0,2.00272e-05,2.00272e-05,2.00272e-05,0.0
5,1.0,32768.0,6.29425e-05,6.29425e-05,6.29425e-05,0.0
6,1.0,65536.0,0.000125885,0.000125885,0.000125885,0.0
7,1.0,131072.0,0.000174046,0.000174046,0.000174046,0.0
8,1.0,262144.0,0.00039506,0.00039506,0.00039506,0.0
9,1.0,524288.0,0.000736952,0.000736952,0.000736952,0.0
10,1.0,1048576.0,0.00130606,0.00130606,0.00130606,0.0
11,1.0,2097152.0,0.00233006,0.00233006,0.00233006,0.0
12,1.0,4194304.0,0.00453305,0.00453305,0.00453305,0.0
13,1.0,8388608.0,0.00904799,0.00904799,0.00904799,0.0
14,1.0,16777216.0,0.017941,0.017941,0.017941,0.0
15,1.0,33554432.0,0.0372851,0.0372851,0.0372851,0.0
16,1.0,67108864.0,0.077116,0.077116,0.077116,0.0
17,1.0,134217728.0,0.156723,0.156723,0.156723,0.0
18,1.0,268435456.0,0.315665,0.315665,0.315665,0.0
19,1.0,536870912.0,0.634202,0.634202,0.634202,0.0
20,1.0,1073741824.0,1.42255,1.42255,1.42255,0.0
21,2.0,1024.0,1.90735e-06,9.53674e-07,9.53674e-07,0.0
22,2.0,2048.0,3.09944e-06,1.54972e-06,1.54972e-06,5.96046e-07
23,2.0,4096.0,5.00679e-06,2.5034e-06,2.5034e-06,5.96046e-07
24,2.0,8192.0,7.62939e-06,3.8147e-06,3.8147e-06,0.0
25,2.0,16384.0,1.7643e-05,8.82149e-06,8.82149e-06,0.0
26,2.0,32768.0,3.57628e-05,1.78814e-05,1.78814e-05,0.0
27,2.0,65536.0,7.00951e-05,3.50475e-05,3.50475e-05,0.0
28,2.0,131072.0,0.000140905,7.04527e-05,7.04527e-05,5.96046e-07
29,2.0,262144.0,0.000298023,0.000149012,0.000149012,1.90735e-06
30,2.0,524288.0,0.000579119,0.000289559,0.000289559,2.5034e-06
31,2.0,1048576.0,0.00118709,0.000593543,0.000593543,1.75238e-05
32,2.0,2097152.0,0.00259113,0.00129557,0.00129557,2.55108e-05
33,2.0,4194304.0,0.00525665,0.00262833,0.00262833,1.04904e-05
