,nthreads,M,N,time
0,1,100,100,0.00661302
1,2,100,100,0.00281501
2,3,100,100,0.00193095
3,4,100,100,0.00218201
4,5,100,100,0.00146699
5,6,100,100,0.00118017
6,7,100,100,0.00149989
7,8,100,100,0.00132489
8,1,144,144,0.0127511
9,2,144,144,0.00773096
10,3,144,144,0.00507784
11,4,144,144,0.0032661
12,5,144,144,0.002846
13,6,144,144,0.00257707
14,7,144,144,0.00203013
15,8,144,144,0.00255799
16,1,200,200,0.0199399
17,2,200,200,0.00892687
18,3,200,200,0.00559783
19,4,200,200,0.00417495
20,5,200,200,0.00554204
21,6,200,200,0.00448012
22,7,200,200,0.00398898
23,8,200,200,0.00342703
24,1,288,288,0.0448122
25,2,288,288,0.023416
26,3,288,288,0.0161359
27,4,288,288,0.0146441
28,5,288,288,0.015799
29,6,288,288,0.0128951
30,7,288,288,0.0114181
31,8,288,288,0.010134
32,1,400,400,0.11874
33,2,400,400,0.0626431
34,3,400,400,0.0428278
35,4,400,400,0.032088
36,5,400,400,0.0326979
37,6,400,400,0.0283649
38,7,400,400,0.0282581
39,8,400,400,0.0250649
40,1,576,576,0.354349
41,2,576,576,0.183188
42,3,576,576,0.128244
43,4,576,576,0.0968978
44,5,576,576,0.0905249
45,6,576,576,0.0844672
46,7,576,576,0.083662
47,8,576,576,0.0776081
48,1,800,800,0.947402
49,2,800,800,0.489968
50,3,800,800,0.337487
51,4,800,800,0.256172
52,5,800,800,0.240205
53,6,800,800,0.221158
54,7,800,800,0.207987
55,8,800,800,0.197963
56,1,1024,1024,1.99044
57,2,1024,1024,1.04725
58,3,1024,1024,0.713543
59,4,1024,1024,0.535944
60,5,1024,1024,0.492439
61,6,1024,1024,0.466658
62,7,1024,1024,0.433039
63,8,1024,1024,0.414675
64,1,1600,1600,7.6083
65,2,1600,1600,3.95606
66,3,1600,1600,2.7138
67,4,1600,1600,2.07242
68,5,1600,1600,1.89686
69,6,1600,1600,1.77921
70,7,1600,1600,1.64676
71,8,1600,1600,1.55454
