,nthreads,M,N,time
0,1,100,100,0.00848198
1,2,100,100,0.00369596
2,3,100,100,0.00241804
3,4,100,100,0.00181794
4,1,144,144,0.0177841
5,2,144,144,0.00755191
6,3,144,144,0.00468493
7,4,144,144,0.00417209
8,1,200,200,0.0292699
9,2,200,200,0.0124888
10,3,200,200,0.0081799
11,4,200,200,0.00613308
12,1,288,288,0.0714779
13,2,288,288,0.036449
14,3,288,288,0.0242682
15,4,288,288,0.02004
16,1,400,400,0.189642
17,2,400,400,0.094198
18,3,400,400,0.065238
19,4,400,400,0.04918
20,1,576,576,0.553708
21,2,576,576,0.278926
22,3,576,576,0.192702
23,4,576,576,0.145143
24,1,800,800,1.46093
25,2,800,800,0.746654
26,3,800,800,0.515556
27,4,800,800,0.3872
28,1,1024,1024,3.04631
29,2,1024,1024,1.57426
30,3,1024,1024,1.08543
31,4,1024,1024,0.812685
32,1,1600,1600,11.5575
33,2,1600,1600,5.97308
34,3,1600,1600,4.12004
35,4,1600,1600,3.08718
